"motif_id","Name","Class","Family","Type","UniprotID","SpeciesName","BaseID","TaxGroup","Cluster","ClusterDesc"
"MA2433.1","SPL15D","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2433","plants","cluster_38","SPL_C"
"MA2434.1","SPL16A","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2434","plants","cluster_38","SPL_C"
"MA2435.1","SPL16D","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2435","plants","cluster_38","SPL_C"
"MA2436.1","SPL18A","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2436","plants","cluster_38","SPL_C"
"MA2437.1","SPL19B","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2437","plants","cluster_38","SPL_C"
"MA2438.1","SPL1D","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2438","plants","cluster_38","SPL_C"
"MA2439.1","SPL2A","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2439","plants","cluster_38","SPL_C"
"MA2440.1","SPL2B","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2440","plants","cluster_38","SPL_C"
"MA2441.1","SPL3A","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2441","plants","cluster_38","SPL_C"
"MA2442.1","SPL3B","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2442","plants","cluster_38","SPL_C"
"MA2443.1","SPL3D","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2443","plants","cluster_38","SPL_C"
"MA2444.1","SPL4A","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2444","plants","cluster_38","SPL_C"
"MA2445.1","SPL4D","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2445","plants","cluster_38","SPL_C"
"MA2446.1","SPL5A","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2446","plants","cluster_38","SPL_C"
"MA2447.1","SPL5B","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2447","plants","cluster_33","SPL_B"
"MA2448.1","SPL5D","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2448","plants","cluster_38","SPL_C"
"MA2449.1","SPL6A","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2449","plants","cluster_38","SPL_C"
"MA2450.1","SPL7A","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2450","plants","cluster_38","SPL_C"
"MA2451.1","SPL7B","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2451","plants","cluster_38","SPL_C"
"MA2452.1","SPL8A","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2452","plants","cluster_33","SPL_B"
"MA2453.1","SPL8B","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2453","plants","cluster_33","SPL_B"
"MA2454.1","SPL8D1","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2454","plants","cluster_33","SPL_B"
"MA2455.1","SPL9D","C3H(C),C2HC zinc-fingers like factors","SBP","DAP-seq","","Triticum aestivum","MA2455","plants","cluster_38","SPL_C"
